bin_range,pdb_counts,pdbs
1-5,740,1A9N_1_Q;1AQ3_1_S;1DK1_1_B;1DRZ_1_B;1E7K_1_C;1FFK_1_0;1FFY_1_T;1FJG_1_X;1GRZ_1_A;1H2C_1_R;1H4Q_1_T;1HNW_1_X;1I95_1_A;1I9V_1_A;1K01_1_A;1MJI_1_D;1OND_1_0;1Q2R_1_F;1QU3_1_T;1SJ4_1_R;1UN6_1_E;1VVJ_1_XA;1VY4_1_DA;1XMQ_1_A;2BH2_1_C;2BJ6_1_F;2BNY_1_S;2BQ5_1_S;2BS0_1_R;2BS1_1_R;2C0B_1_R;2C4Y_1_R;2C4Y_1_S;2C4Z_1_R;2C4Z_1_S;2C50_1_S;2D3O_1_0;2IZ8_1_R;2IZM_1_S;2IZN_1_R;2IZN_1_S;2JA8_1_P;2JLT_1_A;2NQP_1_F;2PXV_1_B;2Q1R_1_A;2UUB_1_A;2VUM_1_P;2XD0_1_H;2XO1_1_A;2Y95_1_A;2Z75_1_B;2ZM5_1_D;3B4A_1_B;3B4B_1_B;3B4C_1_B;3E2E_1_R;3G78_1_A;3G96_1_P;3GTM_1_M;3IVN_1_B;3J3V_1_A;3J3V_1_B;3J3W_1_A;3J6B_1_e;3J7R_1_S5;3J8G_1_B;3J92_1_2;3J9Z_1_S7;3J9Z_1_SA;3JBN_1_AB;3JBV_1_W;3MIJ_1_A;3NDB_1_M;3NMR_1_B;3NNH_1_E;3NNH_1_F;3NVI_1_F;3OIN_1_C;3PIP_1_X;3R1D_1_E;3R2C_1_R;3S8U_1_A;3V6Y_1_B;3V7E_1_D;3VYY_1_G;3X1L_1_I;3ZC0_1_M;430D_1_A;4AL6_1_B;4AM3_1_E;4AM3_1_I;4ANG_1_R;4ANG_1_S;4ATO_1_G;4BWM_1_G;4C8Z_1_C;4C9D_1_C;4CSU_1_A;4DR6_1_A;4DS6_1_A;4E8R_1_A;4F1N_1_E;4F3T_1_R;4FAQ_1_A;4FB0_1_A;4G0A_1_F;4IO9_1_X;4K0K_1_A;4KHP_1_A;4KRE_1_R;4LCK_1_B;4NXH_1_A;4P9R_1_A;4PMI_1_A;4QVC_1_G;4QYZ_1_L;4R0D_1_A;4RBZ_1_A;4RC0_1_A;4RGF_1_C;4RMO_1_P;4RUM_1_A;4RZD_1_A;4TUW_1_C;4TVX_1_X;4TZP_1_B;4U6K_1_A;4U7U_1_L;4U8T_1_O;4UE5_1_A;4UJC_1_C1;4UJE_1_B1;4UN4_1_A;4V4F_1_A1;4V4F_1_A3;4V4J_1_2;4V4S_1_BA;4V4T_1_AA;4V5A_1_BA;4V5C_1_BA;4V5E_1_DA;4V5K_1_CX;4V5N_1_BA;4V5S_1_AW;4V61_1_AA;4V61_1_BA;4V63_1_CA;4V69_1_AY;4V6A_1_DA;4V6F_1_BA;4V6F_1_BC;4V6G_1_BA;4V6G_1_CB;4V6G_1_DA;4V6L_1_BB;4V6W_1_A7;4V6X_1_A7;4V71_1_A1;4V7J_1_BA;4V7L_1_BA;4V7L_1_CA;4V7L_1_DA;4V7L_1_DB;4V7M_1_AA;4V83_1_AA;4V83_1_AV;4V83_1_DA;4V8C_1_BA;4V8D_1_DA;4V8H_1_BA;4V8J_1_AA;4V8M_1_BB;4V8N_1_CV;4V8N_1_CW;4V8X_1_AA;4V95_1_BA;4V95_1_DA;4V9B_1_DA;4V9H_1_AA;4V9H_1_BA;4V9I_1_AY;4V9N_1_BA;4V9S_1_DA;4W2H_1_BA;4W2I_1_CY;4W5N_1_B;4W92_1_C;4WAL_1_B;4WF9_1_X;4WFB_1_X;4WKR_1_C;4WQF_1_CA;4WQR_1_1K;4WRO_1_1K;4WRO_1_1L;4WSD_1_1K;4WSD_1_3K;4WU1_1_1G;4WZJ_1_VV;4WZO_1_1K;4WZO_1_3L;4X4N_1_D;4XBF_1_D;4XEJ_1_B23S;4XEJ_1_BIRE;4XW1_1_C;4Y4O_1_2B;4YCP_1_B;4YHH_1_A;4YYE_1_D;4Z31_1_F;4Z7K_1_C;4Z92_1_D;4ZER_1_2A;4ZLD_1_B;4ZLR_1_C;5A0T_1_F;5A8L_1_P;5ANC_1_N;5AXW_1_B;5BZ1_1_B;5BZ5_1_B;5CD4_1_L;5D0A_1_F;5D0B_1_F;5D8B_1_ZC;5DA6_1_A;5DE8_1_C;5DET_1_P;5DFE_1_XA;5DOY_1_1w;5E7K_1_14;5E7K_1_1G;5E81_1_3K;5EL4_1_3L;5EL5_1_3L;5ELH_1_R;5ELK_1_R;5EME_1_A;5EMF_1_A;5EN1_1_B;5FJ0_1_C;5FQ5_1_A;5G2Y_1_A;5GXI_1_B;5H3U_1_C;5H5U_1_5;5HAU_1_1A;5HCQ_1_1A;5HKV_1_X;5HL7_1_X;5HO4_1_B;5I9D_1_B;5I9G_1_A;5IWA_1_A;5IY9_1_Z;5J8B_1_y;5K78_1_y;5KK5_1_B;5KL1_1_C;5KL8_1_C;5LZS_1_3;5M0H_1_A;5MWI_1_A;5NDI_1_D;5NDJ_1_1G;5NDV_1_6;5NG6_1_D;5NRG_1_X;5NXT_1_U;5NZ6_1_A;5O1Y_1_B;5O20_1_B;5O69_1_A;5O69_1_B;5O6U_1_A;5ONH_1_E;5OPT_1_E;5OT7_1_4;5SZE_1_C;5T7V_1_A;5T7V_1_B;5T7V_1_C;5T83_1_A;5U0A_1_K;5U9F_1_01;5UDZ_1_V;5US2_1_B;5UX0_1_E;5UZ4_1_A;5V7C_1_C;5V8I_1_2A;5V9Z_1_A;5VJB_1_C;5VM9_1_B;5VM9_1_D;5VPO_1_XV;5VPP_1_XA;5W1H_1_B;5W1I_1_B;5W1I_1_D;5W5Y_1_R;5WEA_1_B;5WLH_1_B;5WQE_1_B;5WTK_1_B;5WWF_1_B;5WWW_1_B;5WZG_1_B;5XC6_1_D;5XH7_1_B;5XOW_1_G;5YKI_1_C;5ZC9_1_B;5ZQ0_1_B;5ZQ1_1_B;5ZSB_1_C;5ZSC_1_D;5ZW4_1_D;5ZWN_1_P;5ZWO_1_B;5ZX2_1_I;6AR3_1_C;6AR5_1_B;6ASX_1_R;6AZ1_1_1;6AZ1_1_4;6AZ3_1_2;6AZ4_1_A;6BGB_1_C;6BSJ_1_R;6BUW_1_QA;6BZ6_1_QA;6BZ7_1_XA;6BZ7_1_XW;6BZ8_1_QA;6C65_1_C;6CC1_1_A;6CC1_1_B;6CHR_1_A;6CIH_1_A;6CK4_1_D;6CK5_1_B;6DDG_1_1;6DMV_1_B;6DU4_1_B;6DU5_1_B;6DVK_1_H;6E7L_1_A;6E8T_1_A;6E8T_1_D;6E8U_1_B;6EXN_1_5;6FPQ_1_B;6FPX_1_D;6FPX_1_F;6FQL_1_B;6G18_1_2;6GC0_1_B;6GFW_1_R;6GSL_1_14;6GV4_1_D;6GX6_1_B;6GYV_1_A;6H0R_1_B;6H5S_1_E;6HA1_1_A;6HAU_1_D;6HBX_1_A;6HRM_1_1;6I0V_1_B;6I1L_1_B;6IFN_1_N;6IQW_1_I;6JOO_1_B;6JQ6_1_U;6JVX_1_B;6KOP_1_I;6KQD_1_I;6KYV_1_K;6L1W_1_C;6LKQ_1_t;6LNB_1_M;6M0V_1_B;6M0W_1_B;6MUU_1_G;6N7R_1_R;6N9E_1_2w;6N9V_1_P;6NBJ_1_C;6NDK_1_RA;6NUO_1_YA;6O3M_1_QA;6OG7_1_5;6OGF_1_5;6OGI_1_1;6OJ2_1_RA;6OL3_1_C;6OON_1_B;6OSI_1_QA;6OTR_1_YA;6OXA_1_YA;6P5I_1_2;6P7N_1_B;6PMO_1_A;6PMO_1_B;6PPP_1_A;6Q8V_1_A;6Q98_1_2;6QNQ_1_1H;6QNR_1_14;6QNR_1_1G;6QNR_1_1H;6QNR_1_5K;6QX9_1_4;6R47_1_A;6R5Q_1_2;6R6G_1_2;6R6P_1_K;6R7Q_1_K;6R9Q_1_B;6S0Z_1_B;6S12_1_A;6SGC_1_33;6SJ6_1_B;6SJD_1_D;6SPC_1_a;6SPD_1_B;6SQN_1_Z;6SY4_1_C;6T3N_1_A;6TFE_1_A;6TNN_1_V;6U6Y_1_G;6UC8_1_B;6UFH_1_B;6UU4_1_333;6UU5_1_333;6UV2_1_C;6UVN_1_M;6UZ7_1_3;6VBW_1_K;6VQW_1_K;6VRB_1_B;6VRD_1_B;6VUH_1_A;6VWM_1_5;6WD6_1_2;6WDI_1_7;6WHI_1_M;6WOX_1_I;6WQN_1_1;6WQN_1_2;6WRU_1_2;6WZS_1_A;6XHX_1_1A;6XRQ_1_B;6XUS_1_A;6XYW_1_3;6XZ7_1_g;6Y0T_1_B;6Y53_1_2;6YBW_1_A;6YDP_1_AV;6YL5_1_C;6YMC_1_B;6YRB_1_D;6YYM_1_B;6ZJ3_1_S3;6ZJ3_1_S4;6ZMW_1_A;6ZP4_1_1;7A0R_1_X;7A5I_1_99;7A9W_1_B;7ABZ_1_7;7AC7_1_7;7ACR_1_2;7AM2_1_1;7AS8_1_A;7ASN_1_A;7ASO_1_Y;7ASP_1_X;7ASP_1_Y;7AZO_1_PSIA;7AZO_1_TRNA;7AZS_1_ASIA;7AZS_1_ASIB;7AZS_1_TRNA;7B5K_1_9;7BPG_1_A;7C07_1_O;7CPV_1_S2;7D80_1_X;7D80_1_Z;7DUH_1_W;7ECJ_1_C;7ECW_1_M;7EEM_1_A;7ENI_1_B;7ENR_1_B;7EQG_1_M;7EZ2_1_N;7F3J_1_F;7JNH_1_B;7JYY_1_F;7K53_1_6;7K98_1_C;7K9Y_1_H;7KI3_1_C;7L08_1_AA;7L20_1_A;7LH5_1_BA;7LJ3_1_C;7LS2_1_m2;7LYJ_1_A;7M4U_1_a;7M4V_1_A;7M57_1_x;7MJW_1_G;7MJY_1_M;7ML4_1_P;7MLW_1_F;7N06_1_H;7NDJ_1_C;7NQ4_1_C;7NSJ_1_AY;7NT5_1_N;7O0G_1_E;7OGM_1_P;7OI3_1_B;7OID_1_z;7OJN_1_D;7OSA_1_18S;7OX8_1_A;7OYB_1_22;7OYB_1_71;7OYC_1_22;7PDV_1_F;7PH9_1_3;7PLI_1_L;7QEP_1_1;7QQW_1_A;7QR1_1_A;7QR3_1_C;7QR8_1_A;7QVP_1_D5;7QVP_1_S2;7R4X_1_2;7R7C_1_1;7R9G_1_B;7REX_1_B;7REX_1_C;7RR5_1_A;7RZZ_1_B;7S4V_1_B;7SA4_1_2;7SVA_1_B;7SYH_1_2;7TR9_1_R;7TRA_1_R;7TZU_1_A;7UBM_1_R;7UCK_1_2;7UCR_1_A;7UIM_1_B;7UO2_1_B;7UO5_1_B;7UVY_1_v;7UXA_1_E;7VFT_1_A;7VPX_1_H;7WL0_1_B;7WL0_1_D;7WTZ_1_2;7WVJ_1_E;7WWU_1_M;7X74_1_Q;7XFZ_1_E;7XG1_1_H;7XG4_1_I;7XS4_1_B;7Y7R_1_D;7Y7R_1_F;7Y7S_1_D;7YEY_1_B;7YG7_1_U;7Z26_1_E;7Z43_1_MaM;7Z4D_1_A;7Z4D_1_F;7Z4E_1_A;7Z4G_1_A;7ZOL_1_C;7ZTA_1_ATR1;8A3W_1_7;8A98_1_2;8A98_1_6;8A98_1_S4;8APN_1_C1;8AS6_1_P;8ASD_1_P;8AXA_1_B;8AXB_1_B;8AXF_1_Q;8B9I_1_C;8BGE_1_0;8BR8_1_Lu;8BTR_1_v;8BUU_1_A;8C6J_1_5;8C99_1_A;8CDR_1_Bb;8CLM_1_C;8CTI_1_C;8CVM_1_a;8D49_1_B;8D71_1_B;8DK7_1_C;8DVS_1_B;8DZK_1_F;8E3I_1_E;8EVQ_1_EC;8EVR_1_EC;8EWG_1_B;8EY6_1_B;8EY7_1_B;8EY8_1_B;8EYU_1_B;8F0N_1_A;8F5G_1_F;8FB3_1_C;8FC6_1_1A;8FEP_1_AAA;8FEQ_1_AAA;8FFR_1_W;8FOM_1_QV;8FON_1_RA;8FRU_1_1;8FRU_1_3;8FRU_1_4;8FUK_1_1;8FVY_1_2;8FZA_1_B;8FZI_1_x;8FZR_1_R;8G34_1_v;8G4S_1_i;8G9Z_1_E;8GLP_1_S2;8H6E_1_4A;8H8E_1_G;8HK1_1_H;8HL3_1_A5S;8I0R_1_G;8I0T_1_G;8I0W_1_G;8I54_1_B;8ISS_1_E;8J62_1_Y;8JIV_1_Ab;8JSG_1_g;8K0Q_1_C;8K0S_1_C;8K15_1_C;8KDA_1_N;8OKD_1_C;8OLV_1_A;8OVA_1_AB;8OVJ_1_S4;8P03_1_2;8P4F_1_P;8P7B_1_T;8PFQ_1_B;8PJ6_1_A;8PJ6_1_w;8Q6N_1_A;8Q87_1_V;8QBT_1_5;8QCQ_1_A;8QO9_1_Z;8QP8_1_5;8QXD_1_4;8QXD_1_5;8R09_1_4;8R0S_1_C;8RFJ_1_H;8RKT_1_1;8RUK_1_A;8RXX_1_S3;8RXX_1_S4;8RZA_1_B;8S8W_1_C;8SFP_1_B;8SXT_1_C;8TDY_1_A;8TE0_1_A;8TE2_1_A;8TG4_1_C;8U5J_1_A;8U5K_1_A;8U5T_1_A;8U60_1_A;8UKU_1_R;8UMF_1_B;8UQM_1_B;8URW_1_R;8UW3_1_B;8V1H_1_A;8V9K_1_y;8VIV_1_B;8VJT_1_B;8VT5_1_A;8WML_1_R;8WND_1_R;8WND_1_T;8WX0_1_E;8X0S_1_B;8Y0W_1_L5;8Y0X_1_L5;8Y39_1_B;8YB6_1_C;8YEO_1_C;8Z85_1_D;8Z8N_1_D;8ZLU_1_A;9ASN_1_E;9AVR_1_B;9AX8_1_y;9B0L_1_C;9BDN_1_A18S;9C3H_1_S2;9CAI_1_A7;9DTT_1_B;9ENF_1_C;9G8M_1_L5;9G8M_1_X;9G8O_1_X;9G8P_1_X
6-10,21,1Q82_1_A;1VQ6_1_0;3BWP_1_A;3CCE_1_0;3CCL_1_0;3CCQ_1_0;3CCU_1_0;3CPW_1_0;3EOH_1_A;3G4S_1_0;5I4A_1_B;5IT9_1_i;5MRC_1_A;5OSG_1_2;7A09_1_2;7CPU_1_S2;7ODE_1_I;7TTU_1_1;7TTW_1_1;7YCX_1_c;8G5Y_1_S2
11-15,13,2UXD_1_A;3J80_1_2;4NYG_1_A;4WT8_1_DV;5IT7_1_2;6FSZ_1_2;6FYX_1_2;6GSM_1_2;6WOO_1_2;7A5P_1_5;7AJU_1_EA;7MPI_1_B5;7MPJ_1_B5
16-20,13,6QZP_1_S2;6ZMO_1_S2;7QP6_1_7;7XNX_1_S2;7XNY_1_S2;8K2C_1_S2;8QCF_1_N;8QOI_1_S2;8XSX_1_S2;8XXL_1_S2;8Y0W_1_S2;8Y0X_1_S2;8YOO_1_S2
21-25,5,5VYC_1_i1;7MQ9_1_N0;8I0W_1_6;8TPU_1_SA;9G8O_1_S2
26-30,3,1EG0_1_M;3EQ4_1_D;6ZMW_1_7
36-40,1,3JCR_1_N
46-50,1,5T2C_1_AA
61-65,1,4KZX_1_i
66-70,1,6SG9_1_CA
