file_name,side_chain_count,n_residues,n_unique_side_chains
pdb7ur5.ent,3009,71,4
pdb7yg9.ent,4576,398,4
pdb8d8l.ent,71833,1609,25
pdb2dr2.ent,3868,448,24
pdb6xrq.ent,341,14,4
pdb8d49.ent,9022,1073,24
pdb5ool.ent,83912,1927,25
pdb8j9g.ent,7651,507,28
pdb8t2s.ent,9475,581,24
pdb5onh.ent,15542,860,24
pdb5fq5.ent,24365,1322,28
pdb7k5i.ent,57886,1735,24
pdb6f4h.ent,2980,96,21
pdb5xwg.ent,169,14,4
pdb7r7c.ent,12691,791,24
pdb7r4x.ent,56237,1665,24
pdb5hr6.ent,7063,369,24
pdb3nmr.ent,1351,171,21
pdb5ccb.ent,11912,414,24
pdb5elk.ent,1891,127,24
pdb3x1l.ent,19303,790,28
pdb7qr1.ent,12211,1338,28
pdb8waz.ent,34654,1533,27
pdb4faq.ent,4527,396,4
pdb5ns4.ent,2969,154,22
pdb8psn.ent,21950,515,24
pdb6bmd.ent,1002,23,4
pdb2bs0.ent,3119,129,23
pdb6ppp.ent,8715,111,22
pdb4qyz.ent,25696,495,28
pdb7va6.ent,2886,176,22
pdb5yki.ent,3212,383,22
pdb8ubc.ent,8162,324,24
pdb8ki7.ent,16464,2003,24
pdb8ubb.ent,8869,341,24
pdb5gao.ent,22503,2281,24
pdb6iqw.ent,16665,777,24
pdb8e28.ent,5639,705,22
pdb2bs1.ent,3143,129,23
pdb6ppq.ent,4325,108,22
pdb7a9w.ent,4351,527,23
pdb8psx.ent,22029,513,24
pdb7ttu.ent,52785,2687,24
pdb6ppf.ent,45992,2473,24
pdb3jb9.ent,83215,2021,25
pdb4qvc.ent,2906,65,21
pdb3j5l.ent,59565,2854,24
pdb6wbr.ent,8870,958,28
pdb3add.ent,6061,248,21
pdb5e54.ent,1496,68,4
pdb5nrg.ent,52188,2714,24
pdb8wcs.ent,9435,1082,24
pdb4jv5.ent,36639,1512,25
pdb4cqn.ent,15514,860,24
pdb7z4g.ent,11339,1209,28
pdb5k7e.ent,658,58,5
pdb8iew.ent,4700,534,28
pdb4wal.ent,1040,132,21
pdb3nnh.ent,2988,99,22
pdb2zm5.ent,6306,309,23
pdb5mlc.ent,61017,2765,24
pdb7ecw.ent,22417,434,28
pdb5xym.ent,56113,2671,24
pdb6svs.ent,1718,77,4
pdb8csq.ent,59552,1441,24
pdb3bwp.ent,4032,356,4
pdb4rqe.ent,8853,464,24
pdb5t8y.ent,5928,375,24
pdb5js1.ent,6548,811,23
pdb2xnz.ent,732,65,4
pdb3irw.ent,1763,101,22
pdb5mwi.ent,305,26,3
pdb5xow.ent,5678,685,27
pdb5x8t.ent,61434,2810,24
pdb3b4a.ent,1624,143,4
pdb8te0.ent,165,15,4
pdb5v7c.ent,1305,152,23
pdb8asd.ent,15028,1826,24
pdb7bpg.ent,298,7,3
pdb6ar3.ent,7032,414,27
pdb8s8w.ent,6473,416,22
pdb4yye.ent,8404,453,24
pdb7ygn.ent,6030,747,23
pdb6d9l.ent,12466,791,28
pdb7n06.ent,16566,350,22
pdb9g8p.ent,33965,1246,22
pdb7yg8.ent,4489,392,4
pdb7pmq.ent,15665,458,24
pdb4nxn.ent,36310,1502,24
pdb4k0k.ent,36657,1516,25
pdb8qwe.ent,10890,1205,28
pdb6dmv.ent,2155,141,27
pdb3rg5.ent,1938,69,4
pdb3b4c.ent,1603,141,4
pdb3e2e.ent,7343,839,27
pdb8tdw.ent,11237,484,23
pdb3r1d.ent,770,10,2
pdb4khp.ent,36487,1511,24
pdb8te2.ent,165,15,4
pdb6db8.ent,3981,228,24
pdb7rzz.ent,3367,418,24
pdb5hkv.ent,51965,2697,24
pdb8css.ent,58680,1483,24
pdb7enr.ent,9586,1048,24
pdb6sty.ent,5961,202,23
pdb8dwj.ent,2907,341,26
pdb6dvk.ent,1066,95,4
pdb4pjo.ent,24400,139,24
pdb7py5.ent,29342,1373,27
pdb4by1.ent,32560,1446,28
pdb5guh.ent,5901,766,22
pdb8idf.ent,4127,465,24
pdb6y7c.ent,62288,1778,24
pdb4x0b.ent,3919,367,23
pdb5elh.ent,4698,147,22
pdb7z4e.ent,12707,1378,28
pdb8pj9.ent,9781,1074,28
pdb6n5q.ent,1449,127,4
pdb4a3l.ent,31587,1445,27
pdb6yl5.ent,4488,34,4
pdb9c6j.ent,4454,387,4
pdb8pds.ent,5916,365,21
pdb5kl1.ent,3325,410,23
pdb7xui.ent,28507,1374,27
pdb7s3h.ent,9240,1036,28
pdb3oin.ent,3576,230,24
pdb1k01.ent,32178,2774,24
pdb7ttw.ent,52853,2693,24
pdb6rid.ent,26385,1264,28
pdb7qiy.ent,38309,766,24
pdb4fts.ent,7526,347,23
pdb7aoe.ent,30403,1526,27
pdb8psz.ent,22425,513,24
pdb5gam.ent,17431,990,25
pdb7cxn.ent,20717,930,24
pdb8u5t.ent,1283,36,4
pdb8reb.ent,27763,1406,26
pdb8eex.ent,16718,1336,24
pdb7jrr.ent,575,50,4
pdb6ir9.ent,43802,1524,27
pdb8rec.ent,28019,1406,27
pdb8e3i.ent,13366,1230,23
pdb8ub7.ent,8890,341,24
pdb5ndi.ent,1688,19,4
pdb7qix.ent,71196,1121,24
pdb7xam.ent,64650,3063,24
pdb6rie.ent,36147,1286,28
pdb8ehi.ent,25504,1372,28
pdb6wu9.ent,53742,2742,24
pdb8p1n.ent,20825,1292,23
pdb8wax.ent,34652,1531,27
pdb4qln.ent,1398,117,4
pdb7z4d.ent,22606,1279,28
pdb6n7x.ent,24103,627,24
pdb5l2l.ent,5648,86,21
pdb3cpw.ent,61757,2887,24
pdb8wml.ent,12900,1481,24
pdb7qr3.ent,3026,91,22
pdb7lj3.ent,23467,285,24
pdb8f4o.ent,3069,78,4
pdb8q7n.ent,52463,2305,24
pdb8v1h.ent,799,71,4
pdb5t7b.ent,6557,812,24
pdb2zm6.ent,36246,1508,24
pdb4bwm.ent,4609,561,26
pdb6x2n.ent,35020,1373,27
pdb3eq4.ent,657,506,24
pdb6swc.ent,54089,1475,24
pdb6t2c.ent,10409,697,24
pdb5xlo.ent,15033,346,24
pdb6scf.ent,7557,114,19
pdb3b4b.ent,1624,143,4
pdb8tdv.ent,10825,458,23
pdb5xc6.ent,7334,457,23
pdb5oa3.ent,64452,1737,24
pdb4un4.ent,12069,1314,28
pdb5o60.ent,65330,3120,24
pdb6vpc.ent,14831,1492,28
pdb7n3o.ent,6075,584,24
pdb5h1s.ent,60645,2799,24
pdb8d8j.ent,39519,1327,24
pdb7y2b.ent,144,13,4
pdb6fuw.ent,13338,1223,23
pdb6ck4.ent,4658,113,4
pdb8s95.ent,1649,146,4
pdb8thq.ent,2163,134,23
pdb5o6u.ent,12278,336,28
pdb8cgd.ent,56440,2724,24
pdb8huj.ent,6149,690,24
pdb3nvi.ent,6380,370,24
pdb6ted.ent,56125,1536,28
pdb5xog.ent,33083,1473,28
pdb6du4.ent,2720,291,24
pdb6o0x.ent,9810,1114,28
pdb8q6n.ent,528,46,4
pdb2c4y.ent,3210,129,23
pdb4wc5.ent,3887,367,23
pdb5xtm.ent,2937,123,23
pdb8hnw.ent,7784,823,28
pdb8syi.ent,28662,1237,28
pdb6xjq.ent,8052,230,24
pdb6n5t.ent,1427,125,4
pdb8wnd.ent,16699,1067,24
pdb6ifn.ent,17727,757,24
pdb5udz.ent,2655,163,24
pdb3adc.ent,6059,243,21
pdb6u8d.ent,4122,248,24
pdb6rh3.ent,25725,1372,28
pdb6ri7.ent,27872,1373,28
pdb1grz.ent,5640,247,4
pdb5us2.ent,1198,138,27
pdb8kda.ent,22612,190,23
pdb7tuv.ent,5377,676,22
pdb6wzs.ent,1391,62,4
pdb8ube.ent,8943,339,24
pdb5gah.ent,63105,2883,25
pdb8rfj.ent,23461,732,28
pdb6u6y.ent,14256,443,22
pdb6een.ent,10181,319,21
pdb8ubd.ent,8878,341,24
pdb5ng6.ent,42796,1286,24
pdb3jcm.ent,55565,2402,24
pdb8b9i.ent,7886,995,22
pdb8wb0.ent,34652,1534,27
pdb7c79.ent,24012,856,24
pdb3a3a.ent,969,69,4
pdb8p09.ent,67765,1782,24
pdb6ymc.ent,590,26,4
pdb7mlw.ent,1444,125,4
pdb6gfw.ent,27066,1406,27
pdb5ns3.ent,2901,149,22
pdb5lj3.ent,58540,2092,25
pdb6n9v.ent,21034,729,27
pdb6kqd.ent,56224,1488,26
pdb6id1.ent,75790,2015,24
pdb8uw3.ent,11245,1270,28
pdb6i1l.ent,22230,1304,28
pdb5wsg.ent,72927,2081,25
pdb6uv2.ent,3527,439,24
pdb5axm.ent,4527,239,24
pdb5det.ent,1583,99,20
pdb8hnv.ent,7948,752,28
pdb6mpf.ent,36723,1512,25
pdb6q8v.ent,213,18,3
pdb8viv.ent,3311,412,24
pdb6h5s.ent,2921,364,23
pdb6du5.ent,2476,276,23
pdb4u6k.ent,326,9,4
pdb5x8r.ent,40612,1485,24
pdb8cgr.ent,22379,1081,24
pdb7ez2.ent,4600,400,4
pdb8c00.ent,48867,1565,24
pdb5zw4.ent,1959,216,23
pdb6d8n.ent,3632,159,4
pdb1qu3.ent,7967,881,24
pdb8tjx.ent,4162,365,4
pdb3la5.ent,793,71,4
pdb6ck5.ent,2345,109,4
pdb4pqv.ent,786,68,4
pdb6ar5.ent,302,14,8
pdb4un3.ent,12057,1309,28
pdb8dmb.ent,11512,339,28
pdb6dlt.ent,1205,105,4
pdb6vqw.ent,20081,416,24
pdb7wju.ent,6767,407,28
pdb4nxh.ent,631,26,4
pdb8as6.ent,12645,1566,23
pdb7yfy.ent,6347,759,24
pdb8s55.ent,37270,1475,27
pdb8opt.ent,14429,879,24
pdb8t2a.ent,4337,228,24
pdb6tpq.ent,61036,2928,24
pdb5m5x.ent,33761,1547,28
pdb2z75.ent,1627,144,5
pdb9enf.ent,6417,338,24
pdb4w92.ent,1718,117,21
pdb6tqb.ent,1628,172,24
pdb8csu.ent,59665,1520,24
pdb4yco.ent,9810,311,24
pdb8x0s.ent,264,11,2
pdb2c4z.ent,3190,129,23
pdb8qcf.ent,30380,1041,21
pdb4wc6.ent,3897,367,23
pdb8hnt.ent,9592,1003,24
pdb5c5w.ent,478,19,4
pdb4pdb.ent,1451,155,23
pdb2d3o.ent,34985,2802,23
pdb8dzk.ent,14428,353,22
pdb9b0l.ent,5537,583,28
pdb4csu.ent,64449,2903,24
pdb7ml4.ent,61886,1435,27
pdb5gxi.ent,5289,667,22
pdb7mlb.ent,28047,1488,27
pdb5u0a.ent,27569,522,28
pdb7s38.ent,12637,1355,28
pdb6ww6.ent,3782,192,23
pdb2wj8.ent,59783,385,21
pdb3mij.ent,140,12,3
pdb8ubf.ent,8271,328,24
pdb6lnb.ent,28624,622,28
pdb7a5p.ent,50133,2306,25
pdb8eg7.ent,25548,1373,28
pdb8ree.ent,27666,1407,28
pdb7f36.ent,8284,161,24
pdb8wzc.ent,1372,168,21
pdb7jrt.ent,3050,134,4
pdb8uo6.ent,3062,134,4
pdb2nqp.ent,9075,268,24
pdb6lvr.ent,4385,252,24
pdb9cbu.ent,4413,387,4
