file_name,nan_count,shape,n_residues_with_nan
5ZEB_1_B.npy,0,"(117, 7, 3)",0
8ABY_1_R.npy,0,"(10, 7, 3)",0
6SWC_1_2.npy,0,"(1454, 7, 3)",0
8XT2_1_L2.npy,0,"(56, 7, 3)",0
8RXX_1_L3.npy,0,"(182, 7, 3)",0
4U20_1_AA.npy,0,"(1538, 7, 3)",0
4FTS_1_R.npy,0,"(15, 7, 3)",0
7OZQ_1_H.npy,0,"(32, 7, 3)",0
8XSZ_1_CE.npy,0,"(11, 7, 3)",0
6UTV_1_333.npy,0,"(5, 7, 3)",0
5T8Y_1_X.npy,0,"(5, 7, 3)",0
5WWT_1_C.npy,0,"(72, 7, 3)",0
7QI6_1_Ax.npy,0,"(71, 7, 3)",0
8C97_1_A.npy,0,"(1292, 7, 3)",0
7P7T_1_C.npy,0,"(67, 7, 3)",0
8S8W_1_C.npy,12,"(3, 7, 3)",1
5F5H_1_D.npy,0,"(21, 7, 3)",0
5OT7_1_4.npy,0,"(2901, 7, 3)",0
7ODT_1_A.npy,0,"(1451, 7, 3)",0
8P8V_1_8.npy,0,"(76, 7, 3)",0
8TDW_1_J.npy,0,"(6, 7, 3)",0
8VIV_1_B.npy,12,"(11, 7, 3)",1
7Z3O_1_3.npy,0,"(119, 7, 3)",0
4V6L_1_BB.npy,0,"(2880, 7, 3)",0
7Y7S_1_D.npy,0,"(7, 7, 3)",0
7N2U_1_23.npy,0,"(2880, 7, 3)",0
8UBC_1_I.npy,0,"(86, 7, 3)",0
4V9Q_1_BA.npy,0,"(1504, 7, 3)",0
7ODE_1_I.npy,18,"(1986, 7, 3)",6
6ZSC_1_AA.npy,0,"(924, 7, 3)",0
4K0K_1_A.npy,0,"(1511, 7, 3)",0
4W2F_1_BA.npy,0,"(2871, 7, 3)",0
7UVY_1_v.npy,0,"(73, 7, 3)",0
7REX_1_B.npy,0,"(33, 7, 3)",0
4V9P_1_BA.npy,0,"(1533, 7, 3)",0
5T2A_1_G.npy,0,"(183, 7, 3)",0
3EQ4_1_D.npy,486,"(28, 7, 3)",27
6ZCE_1_A.npy,0,"(1719, 7, 3)",0
7Z4D_1_F.npy,0,"(77, 7, 3)",0
7AZO_1_23SB.npy,0,"(2862, 7, 3)",0
8KI7_1_F.npy,0,"(13, 7, 3)",0
7PY5_1_R.npy,0,"(11, 7, 3)",0
5V7C_1_C.npy,0,"(8, 7, 3)",0
2C4Z_1_S.npy,0,"(11, 7, 3)",0
7ZTA_1_ATR1.npy,0,"(62, 7, 3)",0
8CSZ_1_C.npy,0,"(184, 7, 3)",0
8WAV_1_Z.npy,0,"(10, 7, 3)",0
5ANC_1_N.npy,9,"(1162, 7, 3)",3
4V7D_1_AA.npy,0,"(2897, 7, 3)",0
8S8J_1_3.npy,0,"(26, 7, 3)",0
8QPB_1_4.npy,0,"(80, 7, 3)",0
6HIV_1_AA.npy,0,"(591, 7, 3)",0
8RDW_1_iN.npy,0,"(1503, 7, 3)",0
8A98_1_2.npy,3,"(986, 7, 3)",1
6YS5_1_3.npy,0,"(453, 7, 3)",0
5ND8_1_B.npy,0,"(114, 7, 3)",0
7L49_1_E.npy,0,"(135, 7, 3)",0
8QXD_1_5.npy,0,"(104, 7, 3)",0
7VA6_1_C.npy,0,"(2, 7, 3)",0
7YP9_1_H.npy,0,"(11, 7, 3)",0
4PDB_1_I.npy,0,"(38, 7, 3)",0
8IPB_1_cl.npy,0,"(64, 7, 3)",0
4V95_1_AA.npy,0,"(1466, 7, 3)",0
5MC6_1_2.npy,0,"(1767, 7, 3)",0
8RPZ_1_A.npy,0,"(2900, 7, 3)",0
7MPI_1_B5.npy,42,"(1757, 7, 3)",14
8CEH_1_c.npy,0,"(1584, 7, 3)",0
8ATV_1_C.npy,0,"(4, 7, 3)",0
7Z43_1_MaM.npy,12,"(5, 7, 3)",1
7M4W_1_A.npy,0,"(2715, 7, 3)",0
5UD5_1_C.npy,0,"(70, 7, 3)",0
4C4W_1_D.npy,0,"(35, 7, 3)",0
8V87_1_6.npy,0,"(87, 7, 3)",0
1XMQ_1_A.npy,0,"(1507, 7, 3)",0
5DFE_1_XA.npy,15,"(1492, 7, 3)",1
8UKU_1_R.npy,0,"(10, 7, 3)",0
