sequence_id,cluster_id
7UO2_1_B_A,0
5A2Q_1_3_A,1
5OA3_1_3_A,1
7SYL_1_z_A,1
7SYP_1_z_A,1
5A8L_1_A_A,2
5F5F_1_H_A,2
4Y1N_1_A_A,3
7ADD_1_R_A,3
7XSZ_1_P_A,3
1E8S_1_C_A,4
3J6B_1_e_A,4
3JAN_1_4_A,4
3KTV_1_C_A,4
7NFX_1_1_A,4
7OBQ_1_1_A,4
7QWQ_1_1_A,4
9DR1_1_R_A,4
1GRZ_1_A_A,5
6D8N_1_B_A,5
6F4G_1_F_A,6
7N3O_1_B_A,6
7N3P_1_B_A,6
8AXA_1_B_A,6
8AXB_1_B_A,6
8BD6_1_B_A,6
8RKT_1_1_A,6
5TC1_1_R_A,7
6YFT_1_SV_A,7
7NQ4_1_C_A,7
8IT1_1_H_A,7
8OVJ_1_S4_A,7
7MQ9_1_L0_A,8
2RKJ_1_G_A,9
6KYV_1_K_A,9
8YFQ_1_P_A,9
8DMB_1_W_A,10
6ZQC_1_D4_A,11
7R7C_1_1_A,12
9G7C_1_A_A,13
7TRE_1_B_A,14
8G5M_1_R_A,14
7D4I_1_3A_A,15
7MQ9_1_L2_A,16
7MQA_1_L2_A,16
5NG6_1_D_A,17
6P4H_1_1_A,17
6P5I_1_1_A,17
3J6X_1_IR_A,18
8EVQ_1_EC_A,18
8EVR_1_EC_A,18
8EVT_1_EC_A,18
8EWC_1_EC_A,18
8JL0_1_C_A,18
8IBY_1_E_A,19
8IBZ_1_E_A,19
4V92_1_AZ_A,20
5IT9_1_i_A,20
6D90_1_4_A,20
6D9J_1_4_A,20
9DN4_1_E_A,20
6FSZ_1_2_A,21
6G63_1_B_A,21
6ZMW_1_7_A,21
7AJU_1_EA_A,21
7MQ9_1_N0_A,21
7QP6_1_7_A,21
8AXF_1_Q_A,21
8IUO_1_F_A,21
8QCF_1_N_A,21
9G8M_1_X_A,21
9G8O_1_X_A,21
9G8P_1_X_A,21
9C0I_1_R_A,22
9C0J_1_R_A,22
