Rfam_ID,PDB,Chain,Resolution
RF00001,1qvg,9,2.9
RF00001,4u4q,3,3.0
RF00001,4v9i,DB,3.3
RF00001,5fdv,2B,2.8
RF00001,6r6p,7,3.1
RF00001,7p7t,B,2.9
RF00001,8cku,BB,3.11
RF00001,8g38,A,3.2
RF00001,4u27,BB,2.8
RF00001,4v5q,DB,3.1
RF00001,4w2i,DB,2.7
RF00001,5gak,3,3.88
RF00001,5v7q,B,3.7
RF00001,6skf,BB,2.95
RF00001,4ioc,Y,3.6
RF00001,4v6f,AB,3.1
RF00001,5el4,1J,3.15
RF00001,5tga,7,3.3
RF00001,6o9k,X,4.0
RF00001,7oif,3,3.0
RF00001,8pv2,C4,2.63
RF00001,9f1d,B7,3.26
RF00001,4v57,BA,3.5
RF00001,5j8a,DB,3.1
RF00001,5uym,02,3.2
RF00001,6xhx,2B,2.55
RF00001,6yss,B,2.6
RF00001,7d6z,B,3.4
RF00001,7ttw,2,2.9
RF00001,7unw,B,2.6
RF00001,7v08,3,2.36
RF00001,8e35,J,2.27
RF00001,8emm,b,2.1
RF00001,8rcm,82,3.59
RF00001,8vtw,1B,2.35
RF00001,4u25,DB,2.9
RF00001,6cfk,2B,2.7
RF00001,6w6l,E,3.84
RF00001,7m5d,3,2.8
RF00001,7oyd,K,2.3
RF00001,7zjx,L7,3.1
RF00001,7zpq,4,3.47
RF00001,8cd1,B,3.0
RF00001,3ow2,9,2.7
RF00001,4u25,BB,2.9
RF00001,4v8f,DB,3.3
RF00001,5hd1,1B,2.7
RF00001,6nsh,RB,3.397
RF00001,7k52,2,3.4
RF00001,4u52,3,3.0
RF00001,5gah,B,3.8
RF00001,5j3c,YB,3.04
RF00001,5ndw,3,3.7
RF00001,7a0s,Y,3.22
RF00001,7oiz,b,2.9
RF00001,7rqc,1B,2.5
RF00001,7ryf,B,2.65
RF00001,7zs5,3,3.2
RF00001,8agw,h,2.6
RF00001,3ja1,LB,3.6
RF00001,4v95,BB,3.2
RF00001,5dfe,YB,3.09997551079
RF00001,6mtb,7,3.6
RF00001,7rq8,2B,2.5
RF00001,8pv1,C4,2.56
RF00001,8ur0,d,3.4
RF00001,4v50,BA,3.22
RF00001,4v7s,BB,3.2547
RF00001,4v8p,G3,3.52
RF00001,5hd1,2B,2.7
RF00001,5zet,B,3.2
RF00001,6fkr,2B,3.2
RF00001,7md7,2B,2.8
RF00001,8cdl,BB,2.72
RF00001,8e49,J,2.05
RF00001,8peg,8,3.3
RF00001,5hl7,Y,3.55
RF00001,5ib7,16,2.99
RF00001,6s0k,B,3.1
RF00001,7ow7,B,2.4
RF00001,8b7y,J,3.0
RF00001,4p6f,YB,3.6
RF00001,5ndk,1J,2.95
RF00001,5wf0,B,3.6
RF00001,6oxa,YB,3.25
RF00001,6s05,x,3.9
RF00001,6xhv,1B,2.4
RF00001,7jsz,2,3.7
RF00001,8fzi,B,3.1
RF00001,4u3m,3,3.0
RF00001,4v6a,BB,3.1
RF00001,4v8c,BB,3.3
RF00001,5mei,3,3.5
RF00001,6qnr,1J,3.1
RF00001,6zj3,LO,3.15
RF00001,6ztn,BB,3.9
RF00001,8s1u,B,3.4
RF00001,4v56,DA,3.93
RF00001,4v84,DB,3.4
RF00001,5dc3,3,3.25
RF00001,7jt1,2,3.3
RF00001,8ceh,BB,2.05
RF00001,8fzg,B,3.1
RF00001,8g2c,2B,2.65
RF00001,8g2d,2B,2.7
RF00001,9bdp,A5S,3.7
RF00001,4v5e,BB,3.45
RF00001,4v7u,BB,3.1
RF00001,5fdu,2B,2.9
RF00001,5ot7,5,3.8
RF00001,6oig,7,3.8
RF00001,6uo1,1B,2.95
RF00001,7k51,2,3.5
RF00001,7zux,4,2.5
RF00001,8azw,C,2.14
RF00001,8fiz,BC,3.8
RF00001,4v4q,BA,3.46
RF00001,4v87,DB,3.1
RF00001,5j4b,1B,2.6
RF00001,7md7,1B,2.8
RF00001,7u2j,1B,2.55
RF00001,8agt,h,2.6
RF00001,8rd8,D8,2.62
RF00001,4v7p,CB,3.62
RF00001,5dm7,Y,3.0
RF00001,6pc8,J,2.9
RF00001,6r6g,7,3.7
RF00001,6ysu,B,3.7
RF00001,7zw0,LC,2.4
RF00001,8g2u,A,3.0
RF00001,8vsa,5S,3.7
RF00001,8why,B,2.7
RF00001,4l47,RB,3.22000098079
RF00001,4v6c,BB,3.19
RF00001,4v8u,DB,3.7
RF00001,5e7k,1J,3.2
RF00001,6d90,7,3.2
RF00001,7unr,B,2.9
RF00001,7z34,2,3.8
RF00001,3j9w,BB,3.9
RF00001,4v88,A3,3.0
RF00001,4v9b,BB,3.1
RF00001,6tb3,BR,2.8
RF00001,8fr8,B,2.76
RF00001,8ip8,TB,2.9
RF00001,5fcj,3,3.1
RF00001,5j88,DB,3.32
RF00001,6nta,RB,3.1
RF00001,8ink,3,3.2
RF00001,4v9m,BB,4.0
RF00001,5wis,1B,2.703
RF00001,6gxn,B,3.9
RF00001,8agx,h,2.4
RF00001,8ev7,1B,2.89
RF00001,8pkl,8,3.09
RF00001,8ud6,2B,2.7
RF00001,1vq9,9,2.4
RF00001,4l47,YB,3.22000098079
RF00001,4v63,BB,3.207
RF00001,5h5u,B,3.01
RF00001,5wit,1B,2.6
RF00001,6cfj,2B,2.8
RF00001,6cfl,2B,2.6
RF00001,6r84,3,3.6
RF00001,8agu,h,2.7
RF00001,8rpz,B,2.44
RF00001,3cc4,9,2.7
RF00001,6bz8,YB,3.74
RF00001,6ddg,2,3.1
RF00001,6wdg,2,3.3
RF00001,7nhk,B,2.9
RF00001,7oj0,b,3.5
RF00001,9b00,2B,2.8
RF00001,4tua,YB,3.6
RF00001,4u67,Y,3.65
RF00001,4v4h,DA,3.46
RF00001,4w4g,RB,3.3
RF00001,6fkr,1B,3.2
RF00001,6olz,A4,3.9
RF00001,6xqd,2B,2.8
RF00001,7n2u,5,2.53
RF00001,7qgg,E,2.86
RF00001,8evp,A3,2.38
RF00001,8rpy,B,2.64
RF00001,1vqo,9,2.2
RF00001,1xbp,9,3.5
RF00001,4v5q,BB,3.1
RF00001,4xej,A5S,3.8
RF00001,5el6,1J,3.1
RF00001,5mdw,3,3.06
RF00001,5vp2,2B,2.8
RF00001,6osk,3,3.6
RF00001,7qwr,7,2.9
RF00001,8ev7,2B,2.89
RF00001,8hu1,b,2.69
RF00001,8rjb,u,2.69243
RF00001,1nkw,9,3.1
RF00001,3jct,3,3.08
RF00001,4wt8,Cs,3.4
RF00001,4ypb,YB,3.4
RF00001,4z3s,1B,2.65
RF00001,6dzi,B,3.46
RF00001,7ssw,2,3.8
RF00001,8e45,J,2.3
RF00001,8ekb,2B,2.7
RF00001,8g7q,B,3.1
RF00001,4v8p,C3,3.52
RF00001,6qnr,16,3.1
RF00001,8g6x,b,2.31
RF00001,8vtv,2B,2.55
RF00001,4v67,DB,3.0
RF00001,4v88,A7,3.0
RF00001,4v8e,CB,3.3
RF00001,4y4o,2B,2.3
RF00001,5j5b,CB,2.8
RF00001,6czr,2B,3.14
RF00001,6ysi,5,2.5
RF00001,6z6m,L7,3.1
RF00001,7rqd,2B,2.5
RF00001,7s1j,J,2.47
RF00001,8g7s,B,3.1
RF00001,4v9k,BB,3.5
RF00001,5ibb,16,2.96
RF00001,5juo,D,4.0
RF00001,6ord,YB,3.1
RF00001,6pc5,J,2.7
RF00001,6sj6,B,3.23
RF00001,7nsp,B,3.5
RF00001,7zp8,a,2.2
RF00001,3pip,Y,3.45
RF00001,4p6f,RB,3.6
RF00001,4y4p,1B,2.5
RF00001,5j8b,B,2.6
RF00001,5x8p,B,3.4
RF00001,5zeb,B,3.4
RF00001,7msh,B,3.23
RF00001,8oj8,7,3.3
RF00001,4tue,RB,3.5
RF00001,4wqf,CB,2.8
RF00001,6gc8,B,3.8
RF00001,6n8o,B,3.5
RF00001,6zmi,L7,2.6
RF00001,7f5s,L7,2.72
RF00001,8bim,1,2.04
RF00001,8fon,RB,3.64
RF00001,4u24,DB,2.9
RF00001,4v6d,BB,3.814
RF00001,4v7u,DB,3.1
RF00001,5mmi,B,3.2
RF00001,5np6,Z,3.6
RF00001,6buw,YB,3.5
RF00001,6o97,1B,2.75
RF00001,7rqe,2B,2.4
RF00001,8p2h,B,2.49
RF00001,4v5p,DB,3.1
RF00001,4v8p,B3,3.52
RF00001,4v91,3,3.7
RF00001,4wra,1J,3.05
RF00001,4wt1,16,3.05
RF00001,6n8n,B,3.8
RF00001,6spf,B,2.89
RF00001,3cc2,9,2.4
RF00001,4v67,BB,3.0
RF00001,4wu1,1J,3.2
RF00001,6boh,HB,3.4
RF00001,6vyq,d,3.7
RF00001,8e42,J,2.29
RF00001,8ev6,1B,2.946
RF00001,8fl4,L4,2.89
RF00001,8y37,B,2.53
RF00001,1yit,9,2.8
RF00001,4v8b,DB,3.0
RF00001,4wqf,AB,2.8
RF00001,4wqy,AB,2.8
RF00001,5gae,B,3.33
RF00001,5j5b,DB,2.8
RF00001,7sso,2,3.2
RF00001,8ud7,2B,2.55
RF00001,4v4q,DA,3.46
RF00001,4v6g,DB,3.5
RF00001,4zer,2B,3.1
RF00001,6qtz,x,3.5
RF00001,6t59,74,3.11
RF00001,7nhn,B,2.9
RF00001,8crx,b,2.78
RF00001,5mdz,3,3.1
RF00001,6n8j,2,3.5
RF00001,6ope,YB,3.1
RF00001,6sv4,YR,3.3
RF00001,6xhy,1B,2.6
RF00001,7q0r,3,2.67
RF00001,8g6j,L7,2.8
RF00001,4w2f,BB,2.4
RF00001,5w4k,2B,2.7
RF00001,6c5l,BB,3.2
RF00001,8c8x,B,3.93
RF00001,8hl1,A5S,3.93
RF00001,8p2g,B,2.02
RF00001,2otl,9,2.7
RF00001,4lt8,YB,3.14000177152
RF00001,4u26,BB,2.8
RF00001,4v6e,BB,3.712
RF00001,4ybb,CB,2.1
RF00001,5dat,7,3.15
RF00001,5li0,B,3.8
RF00001,7jt3,2,3.7
RF00001,7qwq,7,2.83
RF00001,7zq5,a,2.7
RF00001,8eub,A3,2.52
RF00001,4u4o,3,3.6
RF00001,4v55,BA,4.0
RF00001,4v7t,DB,3.1942
RF00001,6vys,d,3.7
RF00001,6x6t,d,3.2
RF00001,7qvp,L7,3.0
RF00001,4u20,BB,2.9
RF00001,4u55,7,3.2
RF00001,4wfa,Y,3.392
RF00001,5jc9,CB,3.03
RF00001,5kps,29,3.9
RF00001,5vpp,RB,3.9
RF00001,5wdt,B,3.0
RF00001,6bu8,02,3.5
RF00001,7ope,B,3.2
RF00001,1vq4,9,2.7
RF00001,4u4y,7,3.2
RF00001,4wqy,CB,2.8
RF00001,5hcr,2B,2.8
RF00001,5j4c,2B,2.8
RF00001,5tcu,C,3.9
RF00001,6wd3,2,3.6
RF00001,7nso,B,2.9
RF00001,8bhj,1,2.81
RF00001,9f1b,B7,3.01
RF00001,5j4c,1B,2.8
RF00001,5t2c,B,3.6
RF00001,5tbw,AS,3.0
RF00001,6om6,3,3.1
RF00001,6ore,3,2.9
RF00001,7k53,2,3.2
RF00001,7old,3,3.0
RF00001,7zq6,a,2.75
RF00001,8j1z,b,2.6
RF00001,8ud8,1B,2.6
RF00001,3ccq,9,2.9
RF00001,3j79,B,3.2
RF00001,4u3n,7,3.2
RF00001,4v5c,DB,3.3
RF00001,4v9q,CB,3.4
RF00001,4wfn,Y,3.54
RF00001,5el7,16,3.15
RF00001,5kpx,28,3.9
RF00001,6az3,8,2.5
RF00001,6bz7,RB,3.68
RF00001,6bz8,RB,3.74
RF00001,6osq,3,3.5
RF00001,7jsw,2,3.8
RF00001,7mpi,A3,3.05
RF00001,7rqd,1B,2.5
RF00001,8aye,b,1.96
RF00001,8whx,B,2.8
RF00001,4v83,BB,3.5
RF00001,4www,RB,3.1
RF00001,5ju8,BB,3.6
RF00001,5kcs,1B,3.9
RF00001,6cae,2B,2.6
RF00001,6gsj,1J,2.96
RF00001,7o81,B7,3.1
RF00001,7rqe,1B,2.4
RF00001,8agz,h,2.6
RF00001,8ekc,B,2.7
RF00001,1k73,B,3.01
RF00001,3cce,9,2.75
RF00001,3j7q,7,3.4
RF00001,4lfz,YB,3.92000059074
RF00001,4ug0,L7,3.6
RF00001,5jup,D,3.5
RF00001,6buw,RB,3.5
RF00001,6tnn,V,3.07
