PDB_id,chain_id_pdb,length_pdb,chain_id_data,length_data,match_type,is_match
1h3e,B,80,B,80,perfect,1
1nbs,A,120,A,120,perfect,1
1zdk,R,19,R,19,perfect,1
1zdk,S,19,R,19,length,3
2bq5,R,19,R,19,perfect,1
2c51,S,13,S,13,perfect,1
2yu9,R,10,R,10,perfect,1
3lob,R,7,R,7,perfect,1
3nkb,B,64,B,64,perfect,1
3owi,A,86,A,86,perfect,1
3siu,C,28,F,28,length,3
3siu,F,28,F,28,perfect,1
4b3o,R,23,R,23,perfect,1
4bw0,A,26,A,26,perfect,1
4fnj,A,35,A,35,perfect,1
4gma,Z,192,Z,192,perfect,1
4tux,C,25,C,25,perfect,1
4tux,D,26,D,26,perfect,1
4v2s,Q,58,Q,58,perfect,1
4w2h,I,18,AY,18,length,2
4x4t,G,18,G,18,perfect,1
4x4u,G,18,G,18,perfect,1
5b63,B,63,B,63,perfect,1
5b63,D,64,D,64,perfect,1
5c0x,R,31,R,31,perfect,1
5ml7,A,95,B,95,length,3
5ml7,B,95,B,95,perfect,1
5v3f,A,31,A,31,perfect,1
5vt0,R,112,R,112,perfect,1
5wsg,B,14,b,14,length,2
5y87,B,49,B,49,perfect,1
5y87,D,49,B,49,length,3
6cf2,G,35,G,35,perfect,1
6kwq,B,31,B,31,perfect,1
6o1k,O,18,O,18,perfect,1
6o1k,P,18,O,18,length,3
6spd,A,2851,A,2851,perfect,1
6swd,2,1012,2,1012,perfect,1
6t0r,V,20,V,20,perfect,1
6tqa,G,20,G,20,perfect,1
6ufk,C,50,C,50,perfect,1
6uq1,R,11,R,11,perfect,1
6xbu,E,7,E,7,perfect,1
6xh2,D,27,D,27,perfect,1
6z8k,C,10,C,10,perfect,1
6zj3,r,61,LK,61,length,2
7ane,2,604,2,604,perfect,1
7aoi,E,758,AA,758,length,2
7d5t,D,1189,SA,1189,length,2
7d7v,A,57,A,57,perfect,1
7d81,A,50,A,50,perfect,1
7og0,D,17,D,17,perfect,1
7og0,E,17,D,17,length,3
7ori,H,11,H,11,perfect,1
7pzy,S,16,10,16,length,2
7qca,B,119,L70,119,length,2
7s37,R,46,R,46,perfect,1
7tqb,A,13,A,13,perfect,1
7uz0,A,86,A,86,perfect,1
7vw3,B,104,B,104,perfect,1
7xwz,E,7,E,7,perfect,1
7xyb,R,14,R,14,perfect,1
7yfx,B,14,B,14,perfect,1
8asw,X,73,X,73,perfect,1
8c83,2,1177,2,1177,perfect,1
8c95,A,1220,A,1220,perfect,1
8cgv,b,56,b,56,perfect,1
8crx,b,120,b,120,perfect,1
8cvo,A,469,A,469,perfect,1
8d4a,B,41,B,41,perfect,1
8e29,B,33,B,33,perfect,1
8eg8,R,12,R,12,perfect,1
8feo,A,16,AAA,16,length,2
8fni,m,21,m,21,perfect,1
8g4w,R,47,R,47,perfect,1
8hsg,R,12,R,12,perfect,1
8id2,C,24,D,24,length,3
8id2,D,24,D,24,perfect,1
8ifm,P,20,P,20,perfect,1
8in8,I,24,I,24,perfect,1
8jch,P,23,P,23,perfect,1
8jy0,B,64,B,64,perfect,1
8k87,D,20,I,20,length,3
8k87,I,20,I,20,perfect,1
8oit,a,69,B9,69,length,2
8omr,C,75,C,75,perfect,1
8opp,D,25,D,25,perfect,1
8ouf,B,86,B,86,perfect,1
8pim,R,17,R,17,perfect,1
8qcq,w,77,y,77,length,3
8qcq,y,77,y,77,perfect,1
8qpp,V,33,V,33,perfect,1
8r08,1,153,1,153,perfect,1
8ram,P,29,P,29,perfect,1
8ran,P,13,P,13,perfect,1
8s52,P,10,P,10,perfect,1
8sa3,A,210,A,210,perfect,1
8t5d,x,12,x,12,perfect,1
8tdz,A,15,A,15,perfect,1
8thq,R,9,R,9,perfect,1
8tux,R,95,R,95,perfect,1
8utg,A,21,A,21,perfect,1
8vaj,E,12,E,12,perfect,1
8vat,H,11,H,11,perfect,1
8ves,H,19,H,19,perfect,1
8xyc,C,117,C,117,perfect,1
9bh5,V,1476,B2,1476,length,2
9bz1,A,84,A,84,perfect,1
9bz1,B,84,A,84,length,3
9c3h,f,64,S4,64,length,2
9gut,X,17,X,17,perfect,1
