,1B7F_1_P,1B7F_1_Q,1DDL_1_D,1FIX_1_A,1ICG_1_A-B,1IHA_1_A-B,1M8W_1_C,1M8X_1_D,1R9F_1_B,1R9F_1_C,1RLG_1_D,1S03_1_A
1B7F_1_P,1.0,0.56832,0.17434,0.15678,0.09142,0.10063,0.09388,0.04458,0.11302,0.08116,0.14618,0.1379
1B7F_1_Q,0.56832,1.0,0.20696,0.09843,0.09227,0.17366,0.13392,0.04308,0.11483,0.09435,0.1366,0.1015
1DDL_1_D,0.17434,0.20696,1.0,0.06039,0.11545,0.13972,0.02455,0.2656,0.07324,0.08427,0.0909,0.07597
1FIX_1_A,0.15678,0.09843,0.06039,1.0,0.41758,0.44319,0.2133,0.1197,0.29761,0.3636,0.19997,0.38629
1ICG_1_A-B,0.09142,0.09227,0.11545,0.41758,1.0,0.85132,0.17308,0.08017,0.46856,0.50424,0.14737,0.31229
1IHA_1_A-B,0.10063,0.17366,0.13972,0.44319,0.85132,1.0,0.21864,0.07959,0.47416,0.50396,0.14839,0.49685
1M8W_1_C,0.09388,0.13392,0.02455,0.2133,0.17308,0.21864,1.0,0.66166,0.14287,0.17793,0.18995,0.15022
1M8X_1_D,0.04458,0.04308,0.2656,0.1197,0.08017,0.07959,0.66166,1.0,0.13101,0.15558,0.20365,0.17906
1R9F_1_B,0.11302,0.11483,0.07324,0.29761,0.46856,0.47416,0.14287,0.13101,1.0,0.40278,0.13801,0.23725
1R9F_1_C,0.08116,0.09435,0.08427,0.3636,0.50424,0.50396,0.17793,0.15558,0.40278,1.0,0.16009,0.27286
1RLG_1_D,0.14618,0.1366,0.0909,0.19997,0.14737,0.14839,0.18995,0.20365,0.13801,0.16009,1.0,0.14514
1S03_1_A,0.1379,0.1015,0.07597,0.38629,0.31229,0.49685,0.15022,0.17906,0.23725,0.27286,0.14514,1.0
