Rfam_ID,PDB,Chain,Resolution
RF00001,1qvg,9,2.9
RF00001,4u4q,3,3.0
RF00001,5fdv,2B,2.8
RF00001,7p7t,B,2.9
RF00001,4u27,BB,2.8
RF00001,4w2i,DB,2.7
RF00001,6skf,BB,2.95
RF00001,7oif,3,3.0
RF00001,8pv2,C4,2.63
RF00001,6xhx,2B,2.55
RF00001,6yss,B,2.6
RF00001,7ttw,2,2.9
RF00001,7unw,B,2.6
RF00001,7v08,3,2.36
RF00001,8e35,J,2.27
RF00001,8emm,b,2.1
RF00001,8vtw,1B,2.35
RF00001,4u25,DB,2.9
RF00001,6cfk,2B,2.7
RF00001,7m5d,3,2.8
RF00001,7oyd,K,2.3
RF00001,8cd1,B,3.0
RF00001,3ow2,9,2.7
RF00001,4u25,BB,2.9
RF00001,5hd1,1B,2.7
RF00001,4u52,3,3.0
RF00001,7oiz,b,2.9
RF00001,7rqc,1B,2.5
RF00001,7ryf,B,2.65
RF00001,8agw,h,2.6
RF00001,7rq8,2B,2.5
RF00001,8pv1,C4,2.56
RF00001,5hd1,2B,2.7
RF00001,7md7,2B,2.8
RF00001,8cdl,BB,2.72
RF00001,8e49,J,2.05
RF00001,5ib7,16,2.99
RF00001,7ow7,B,2.4
RF00001,8b7y,J,3.0
RF00001,5ndk,1J,2.95
RF00001,6xhv,1B,2.4
RF00001,4u3m,3,3.0
RF00001,8ceh,BB,2.05
RF00001,8g2c,2B,2.65
RF00001,8g2d,2B,2.7
RF00001,5fdu,2B,2.9
RF00001,6uo1,1B,2.95
RF00001,7zux,4,2.5
RF00001,8azw,C,2.14
RF00001,5j4b,1B,2.6
RF00001,7md7,1B,2.8
RF00001,7u2j,1B,2.55
RF00001,8agt,h,2.6
RF00001,8rd8,D8,2.62
RF00001,5dm7,Y,3.0
RF00001,6pc8,J,2.9
RF00001,7zw0,LC,2.4
RF00001,8g2u,A,3.0
RF00001,8why,B,2.7
RF00001,7unr,B,2.9
RF00001,4v88,A3,3.0
RF00001,6tb3,BR,2.8
RF00001,8fr8,B,2.76
RF00001,8ip8,TB,2.9
RF00001,5wis,1B,2.703
RF00001,8agx,h,2.4
RF00001,8ev7,1B,2.89
RF00001,8ud6,2B,2.7
RF00001,1vq9,9,2.4
RF00001,5wit,1B,2.6
RF00001,6cfj,2B,2.8
RF00001,6cfl,2B,2.6
RF00001,8agu,h,2.7
RF00001,8rpz,B,2.44
RF00001,3cc4,9,2.7
RF00001,7nhk,B,2.9
RF00001,9b00,2B,2.8
RF00001,6xqd,2B,2.8
RF00001,7n2u,5,2.53
RF00001,7qgg,E,2.86
RF00001,8evp,A3,2.38
RF00001,8rpy,B,2.64
RF00001,1vqo,9,2.2
RF00001,5vp2,2B,2.8
RF00001,7qwr,7,2.9
RF00001,8ev7,2B,2.89
RF00001,8hu1,b,2.69
RF00001,8rjb,u,2.69243
RF00001,4z3s,1B,2.65
RF00001,8e45,J,2.3
RF00001,8ekb,2B,2.7
RF00001,8g6x,b,2.31
RF00001,8vtv,2B,2.55
RF00001,4v67,DB,3.0
RF00001,4v88,A7,3.0
RF00001,4y4o,2B,2.3
RF00001,5j5b,CB,2.8
RF00001,6ysi,5,2.5
RF00001,7rqd,2B,2.5
RF00001,7s1j,J,2.47
RF00001,5ibb,16,2.96
RF00001,6pc5,J,2.7
RF00001,7zp8,a,2.2
RF00001,4y4p,1B,2.5
RF00001,5j8b,B,2.6
RF00001,4wqf,CB,2.8
RF00001,6zmi,L7,2.6
RF00001,7f5s,L7,2.72
RF00001,8bim,1,2.04
RF00001,4u24,DB,2.9
RF00001,6o97,1B,2.75
RF00001,7rqe,2B,2.4
RF00001,8p2h,B,2.49
RF00001,6spf,B,2.89
RF00001,3cc2,9,2.4
RF00001,4v67,BB,3.0
RF00001,8e42,J,2.29
RF00001,8ev6,1B,2.946
RF00001,8fl4,L4,2.89
RF00001,8y37,B,2.53
RF00001,1yit,9,2.8
RF00001,4v8b,DB,3.0
RF00001,4wqf,AB,2.8
RF00001,4wqy,AB,2.8
RF00001,5j5b,DB,2.8
RF00001,8ud7,2B,2.55
RF00001,7nhn,B,2.9
RF00001,8crx,b,2.78
RF00001,6xhy,1B,2.6
RF00001,7q0r,3,2.67
RF00001,8g6j,L7,2.8
RF00001,4w2f,BB,2.4
RF00001,5w4k,2B,2.7
RF00001,8p2g,B,2.02
RF00001,2otl,9,2.7
RF00001,4u26,BB,2.8
RF00001,4ybb,CB,2.1
RF00001,7qwq,7,2.83
RF00001,7zq5,a,2.7
RF00001,8eub,A3,2.52
RF00001,7qvp,L7,3.0
RF00001,4u20,BB,2.9
RF00001,5wdt,B,3.0
RF00001,1vq4,9,2.7
RF00001,4wqy,CB,2.8
RF00001,5hcr,2B,2.8
RF00001,5j4c,2B,2.8
RF00001,7nso,B,2.9
RF00001,8bhj,1,2.81
RF00001,5j4c,1B,2.8
RF00001,5tbw,AS,3.0
RF00001,6ore,3,2.9
RF00001,7old,3,3.0
RF00001,7zq6,a,2.75
RF00001,8j1z,b,2.6
RF00001,8ud8,1B,2.6
RF00001,3ccq,9,2.9
RF00001,6az3,8,2.5
RF00001,7rqd,1B,2.5
RF00001,8aye,b,1.96
RF00001,8whx,B,2.8
RF00001,6cae,2B,2.6
RF00001,6gsj,1J,2.96
RF00001,7rqe,1B,2.4
RF00001,8agz,h,2.6
RF00001,8ekc,B,2.7
RF00001,3cce,9,2.75
RF00001,6zu5,L70,2.9
RF00001,8agv,h,2.6
RF00001,8cvl,2B,2.3
RF00001,8ova,BD,2.47
RF00001,5w4k,1B,2.7
RF00001,6i7v,DB,2.9
RF00001,7yla,J,2.52
RF00001,8g5y,L7,2.29
RF00001,8vtx,2B,2.4
RF00001,9fbv,b,2.4
RF00001,2qex,9,2.9
RF00001,3ccv,9,2.9
RF00001,4wpo,CB,2.8
RF00001,6th6,BB,2.55
RF00001,7sfr,B,2.6
RF00001,8rq0,B,2.44
RF00001,8bf7,1,2.33
RF00001,8ccs,BB,1.97
RF00001,8fru,3,2.49
RF00001,8qoi,L7,1.9
RF00001,6v3a,B,2.82
RF00001,7o1a,BB,2.4
RF00001,8fc6,2B,2.35
RF00001,8g61,L7,2.94
RF00001,8y38,B,2.58
RF00001,6cfj,1B,2.8
RF00001,6cfl,1B,2.6
RF00001,8fld,L4,2.58
RF00001,1n8r,B,3.0
RF00001,4wpo,AB,2.8
RF00001,4v9d,DB,3.0
RF00001,6h4n,B,3.0
RF00001,8e30,J,1.91
RF00001,4v8g,DB,3.0
RF00001,5wis,2B,2.703
RF00001,7jil,3,2.8
RF00001,1vq5,9,2.6
RF00001,4v8d,BB,3.0
RF00001,8p8u,LE,2.23
RF00001,6qzp,L7,2.9
RF00001,4v7y,DB,3.0
RF00001,6v3d,B,2.95
RF00001,7s1g,J,2.48
RF00001,7st6,2,3.0
RF00001,8civ,BB,2.47
RF00001,8g6y,b,2.09
RF00001,8uua,B,2.7
RF00001,3cc7,9,2.7
RF00001,5ib7,1J,2.99
RF00001,6hrm,3,2.96
RF00001,7p7q,B,2.4
RF00001,8jdk,E,2.26
RF00001,5e81,16,2.95
RF00001,5t2a,D,2.9
RF00001,6zu1,BB,3.0
RF00001,7n31,5,2.69
RF00001,8cvm,b,2.66
RF00001,8idt,5,2.8
RF00001,8uu4,B,3.0
RF00001,6pcq,J,2.6
RF00001,7jql,1B,3.0
RF00001,7u2i,1B,2.55
RF00001,8bh4,1,2.62
RF00001,8fc5,2B,2.65
RF00001,8b5l,7,2.86
RF00001,8e41,J,2.13
RF00001,1vy7,DB,2.8
RF00001,4lnt,YB,2.94000009954
RF00001,4w2h,DB,2.7
RF00001,4woi,CB,3.0
RF00001,5ngm,AB,2.9
RF00001,8g5z,L7,2.64
RF00001,4u27,DB,2.8
RF00001,4u3u,7,2.9
RF00001,6tc3,05S1,2.7
RF00001,7p7s,B,3.0
RF00001,7u2j,2B,2.55
RF00001,8htz,b,2.4
RF00001,8inf,5,3.0
RF00001,1yj9,9,2.8
RF00001,1yjw,9,2.9
RF00001,4w2f,DB,2.4
RF00001,5afi,B,2.9
RF00001,8eiu,b,2.24
RF00001,3cma,9,2.8
RF00001,5wfs,B,3.0
RF00001,7m4v,B,2.54
RF00001,8e3m,J,2.25
RF00001,6xa1,L7,2.8
RF00001,7rq9,1B,2.6
RF00001,8fc3,2B,2.6
RF00001,8fl0,L4,2.91
RF00001,8p2k,B7,2.9
RF00001,8pv5,C4,2.86
RF00001,8t8c,1B,2.6
RF00001,1vqp,9,2.25
RF00001,8fc1,1B,2.5
RF00001,9b00,1B,2.8
RF00001,1vy6,DB,2.9
RF00001,6pct,J,2.8
RF00001,9c4g,b,2.53
RF00001,5hau,1B,3.0
RF00001,7uvw,B,2.37
RF00001,8jiv,Ab,2.84
RF00001,4u20,DB,2.9
RF00001,4v8g,BB,3.0
RF00001,5e81,1J,2.95
RF00001,8ceu,b,1.83
RF00001,7st2,2,2.9
RF00001,7y7d,b,2.58
RF00001,8bn3,3,2.4
RF00001,8buu,B,2.9
RF00001,8g6w,b,2.02
RF00001,4v9p,EB,2.9
RF00001,7cpu,L7,2.82
RF00001,7qiz,5,2.38
RF00001,8bil,1,2.04
RF00001,8g2b,2B,2.55
RF00001,8pv3,C4,2.8
RF00001,4v8i,DB,2.7
RF00001,4w2e,B,2.9
RF00001,8fc5,1B,2.65
RF00001,8p2f,B,2.44
RF00001,8q7z,B7,2.5
RF00001,4z8c,2B,2.9
RF00001,7b5k,B,2.9
RF00001,7o19,BB,2.9
RF00001,8flf,L4,2.65
RF00001,6xhw,2B,2.5
RF00001,8a57,B,2.3
RF00001,8ove,BD,2.6
RF00001,4v8d,DB,3.0
RF00001,6z6l,L7,3.0
RF00001,8fmw,AB,2.86
RF00001,7mt2,B,2.76
RF00001,8vtv,1B,2.55
RF00001,7n2v,5,2.54
RF00001,8rdv,D8,2.6
RF00001,3g71,9,2.85
RF00001,6zm7,L7,2.7
RF00001,8g2d,1B,2.7
RF00001,8y36,B,2.65
RF00001,1vqm,9,2.3
RF00001,3cpw,9,2.7
RF00001,6nd5,2B,2.6
RF00001,7oii,3,3.0
RF00001,7uvv,B,2.5
RF00001,8r6c,b,2.2
RF00001,4u1u,BB,2.95
RF00001,7uvx,B,2.35
RF00001,8evr,A3,2.87
RF00001,4v7x,DB,3.0
RF00001,8bgh,1,2.88
RF00001,4v7w,BB,3.0
RF00001,6wde,2,3.0
RF00001,7y7h,b,2.51
RF00001,1vy7,BB,2.8
RF00001,4z3s,2B,2.65
RF00001,5j7l,CB,3.0
RF00001,5j4b,2B,2.6
RF00001,7obr,7,2.8
RF00001,7osa,AB,3.0
RF00001,7ot5,3,2.9
RF00001,7unv,B,2.7
RF00001,4v9o,AB,2.9
RF00001,6snt,4,2.8
RF00001,8hku,A5S,2.72
RF00001,8s1p,B,1.96
RF00001,7asm,B,2.48
RF00001,7mpj,A3,2.7
RF00001,7uoo,3,2.34
RF00001,7y7f,b,2.43
RF00001,8cdr,BB,2.04
RF00001,8fl3,L4,2.53
RF00001,5doy,2B,2.6
RF00001,8bhn,1,2.85
RF00001,5iqr,3,3.0
RF00001,5j91,DB,2.96
RF00001,5vp2,1B,2.8
RF00001,6ylg,3,3.0
RF00001,8p17,3,2.78
RF00001,8pv7,C4,2.12
RF00001,3ccm,9,2.55
RF00001,3cxc,9,3.0
RF00001,4wqu,AB,2.8
RF00001,7osm,AB,3.0
RF00001,8fl7,L4,2.55
RF00001,4wsd,1J,2.95
RF00001,6xqe,2B,3.0
RF00001,7as8,B,2.9
RF00001,8flc,L4,2.76
RF00001,8pv6,C4,2.94
RF00001,1k8a,B,3.0
RF00001,3ccr,9,3.0
RF00001,3g6e,9,2.7
RF00001,4v9o,CB,2.9
RF00001,5wit,2B,2.6
RF00001,6pcr,J,2.5
RF00001,6tbv,05S1,2.7
RF00001,7lvk,J,2.2
RF00001,7rqa,1B,2.4
RF00001,8cvj,1B,2.4
RF00001,8cvl,1B,2.3
RF00001,8q87,B7,2.4
RF00001,7n30,5,2.66
RF00001,8bge,1,2.11
RF00001,8e3l,J,2.35
RF00001,7n2c,5,2.72
RF00001,7rq9,2B,2.6
RF00001,8g2c,1B,2.65
RF00001,8g7p,B,2.9
RF00001,5j7l,DB,3.0
